,pre_¿Cuál es tu sexo?,pre_Curso,pre_Dispositivo electrónico,pre_Pregunta 1,pre_Pregunta 2,pre_Pregunta 3,pre_Pregunta 4,pre_Pregunta 5,pre_Pregunta 6,pre_Pregunta 7,pre_Pregunta 8,pre_Pregunta 9,pre_Pregunta 10,pre_Pregunta 11,pre_Pregunta 12,pre_Pregunta 13,pre_Pregunta 14,pre_Pregunta 15,pre_Pregunta 16,pre_Pregunta 17,pre_Pregunta 18,post_¿Cuál es tu sexo?,post_Curso,post_Dispositivo electrónico,post_Pregunta 1,post_Pregunta 2,post_Pregunta 3,post_Pregunta 4,post_Pregunta 5,post_Pregunta 6,post_Pregunta 7,post_Pregunta 8,post_Pregunta 9,post_Pregunta 10,post_Pregunta 11,post_Pregunta 12,post_Pregunta 13,post_Pregunta 14,post_Pregunta 15,post_Pregunta 16,post_Pregunta 17,post_Pregunta 18,post_Pregunta 19,post_Pregunta 20,post_Pregunta 21
4000,Chico,Otro,Teléfono móvil,"Es la capacidad que tienen aquellos sistemas informáticos de aprender por sí mismos, ya sea recopilando datos, ejecutando pruebas... ",0,1,1,1,1,1,1,1,1,1,0.75,0.75,0.75,0.75,"El hecho de que lleguen a un punto en el que se rebelen contra los humanos, o que puedan llegar a sustituirlos. ","No, pero he programado en otro lenguage",,Chico,Otro,Teléfono móvil,Es aquella que tiene una máquina y que nos ayuda a resolver un problema simple o complejo.,0,1,1,1,1,1,1,1,1,1,1,0.75,0.75,1,El hecho de que se independicen de los humanos o se rebelen contra ellos,5,4,He hecho proyectos de los dos tipos,Nos devuelve la etiqueta que corresponde en mayor medida con el texto ,Incluir accesorios de conectividad
3322,Chica,Otro,Ordenador portátil,Creo que la inteligencia artificial es la inteligencia que los humanos le dan a los dispositivos electrónicos para que cumplen determinadas funciones.,1,1,1,0,1,1,1,1,1,1,0.75,0.25,1.0,0.5,Un peligro de la inteligencia artificial es que se desarrollan mecanismos que pueden sustituir a algunos puestos de trabajos de personas.,"No, pero he programado en otro lenguage",,Chica,Otro,Ordenador portátil,La inteligencia artificial es todo aquello que esta relacionado con hacer que una máquina sea capaz de resolver un problema en la que la solución requiere de inteligencia.,1,1,1,1,1,1,1,1,0,1,1,0.5,1,0.75,La inteligencia artificial tiene un impacto negativo en el empleo de las personas ya que muchas máquinas están capacitadas para hacer el trabajo de las personas.,5,4,De reconocimiento de textos,Sirve para clasificar las respuestas que le transmitimos al ordenador y saber si son correctos o no con lo preguntado.,Más precisión en la probabilidad de las respuestas.
4602,Chico,4º ESO,Ordenador portátil,"El ""cerebro"" de algunos NPCs en algunos sistemas",1,1,0,0,1,1,1,1,1,1,0.5,1.0,1.0,0.25,Ni idea,Sí,No conservo las direcciones,Chico,4º ESO,Ordenador portátil,Las máquinas tomen decisiones imitando el comportamiento humano,1,1,1,1,1,1,1,1,1,1,0.5,1,1,0.75,Pueden haber fallos de programación que podrían causar graves problemas,5,3,De reconocimiento de textos,Sirve para buscar el texto que escribimos y clasificarlo en alguna de las categorías posibles,ninguna
2304,Chico,5º Primaria,Ordenador portátil,Es una maquina que reacciona a lo que digas o hagas por ejemplo: le dices hola y te responde hola ¿que tal?,1,1,1,1,1,1,1,0,1,0,0.5,0.75,0.5,0.5,No se ninguno,Sí,https://scratch.mit.edu/projects/380285763/,Chico,5º Primaria,Ordenador portátil,La inteligencia artificial es un robot que imita ser un humano,1,1,1,1,1,1,1,0,1,1,0.5,1,0.75,0.75,Que podrian robarte los datos,5,5,De reconocimiento de imágenes,Para ver de que clase era un texto,Reconocimiento de sonidos
2303,Chico,5º Primaria,Ordenador portátil,Es la tecnología,1,1,0,0,0,1,1,1,1,0,0.0,1.0,0.25,0.75,No conozco ninguno,Sí,https://scratch.mit.edu/projects/361503965/,Chico,5º Primaria,Ordenador portátil,La inteligencia artificial (IA) Es la inteligencia de los ordenadores,1,1,1,0,1,1,1,0,1,1,0.5,1,1,0.75,Robo de identidad y daña la vista,5,5,De reconocimiento de imágenes,Para clasificar las respuestas y las etiquetas,Que se pueda compartir y poder programar voz
2302,Chico,5º Primaria,Tableta,No,0,0,0,0,0,0,1,0,0,0,1.0,0.75,1.0,0.0,No lo se yo creo que no tiene ningún peligro,Sí,https://scratch.mit.edu/projects/397396022,Chico,5º Primaria,Tableta,Los robots piensas solos con la información que les des.,1,1,1,1,1,1,1,0,1,1,0.75,1,1,0.75, Robo de identidad ,4,4,He hecho proyectos de los dos tipos,Para clasificar las respuestas,Que se pueda compartir
2305,Chico,5º Primaria,Tableta,No mucho.,0,1,1,0,0,1,0,1,1,1,0.5,0.5,0.75,0.75,No,Sí,,Chico,5º Primaria,Tableta,"La programación que queremos meter a una máquina para q actúe como un humano.
",1,1,1,1,1,1,1,0,1,1,0.25,1,1,1,Qué marse y provocar un accidente,4,3,De reconocimiento de imágenes,Para clasificar los textos,Qué aya voz
2306,Chico,5º Primaria,Ordenador fijo,La inteligencia artificial esalgo que nosotros creamos y manejamos,1,0,1,1,0,1,1,1,1,0,0.5,1.0,0.5,0.75,No los conozco,Sí,https://scratch.mit.edu/projects/382453178,Chico,5º Primaria,Ordenador portátil,ES la que el humano programa para que se comporte como el.,1,1,1,1,1,1,1,0,1,1,0.5,1,1,0.75,Si Pueden descubrir datos sobre ti y dañala vista,5,5,De reconocimiento de imágenes,Para clasificar las respuestas,Que  se puedan compartir
3312,Chica,4º ESO,Ordenador portátil,La inteligencia de las máquinas,1,1,0,0,0,1,1,1,1,1,0.25,0.5,0.25,1.0,No conozco ninguno,Sí,No estan acabdos,Chica,4º ESO,Ordenador portátil,Sistemas informáticos que piensan como humanos.,1,1,1,1,1,1,1,1,0,1,1,0.5,1,0.5,Que en ocasiones no es del todo precisa y se puede equivocar.,5,3,De reconocimiento de imágenes,Para guardar ese texto y que después reconozca aquellos que se parezcan.,Ninguna me parece que está bien
2301,Chico,5º Primaria,Ordenador portátil,No,1,1,0,0,0,1,1,0,1,1,0.5,1.0,0.5,0.5,Tú imaginación,Sí,https://scratch.mit.edu/projects/383164515/,Chico,5º Primaria,Ordenador portátil,Una máquina que piensa,1,1,1,1,1,1,1,1,1,1,0.75,1,1,0.5,Que se equivoque en su predicción,5,4,De reconocimiento de imágenes,Para obtener la categoría asociada al texto ,Reconocimiento de sonidos
1024,Chico,4º ESO,,Un software que permite ejecutar y tomar decisiones apropiadas según cada situación ,1,0,0,1,1,1,1,1,0,1,0.25,1.0,0.75,0.5,La seguridad de la información,Sí,No tengo ningún Scratch favorito,Chico,4º ESO,Ordenador portátil,,1,1,0,0,1,1,1,1,1,1,1,1,1,1,Seguridad de datos,5,5,De reconocimiento de textos,Para reconocer una parte del texto,La intuitividad 
3333,Chico,Otro,Ordenador portátil,Un programa o máquina que es capaz de aprender por si mismo.,0,1,1,1,1,1,1,1,1,0,0.25,0.5,0.75,1.0,No tenemos control absoluto de toda la máquina.,Sí,Solo he programado ejercicios de clase,Chico,Otro,Ordenador portátil,"Son unos algoritmos capaces de aprender e interpretar cosas que no han sido previstas durante su diseño, gracias a ejemplos iniciales.",1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,El punto en el que ya no seamos capaces de controlar el aprendizaje de la maquina ,5,3,He hecho proyectos de los dos tipos,,"1. Que también reconozca sonidos.
2. Que se puedan editar los textos que introduces, no solo borrarlos.
"
1025,Chico,4º ESO,Ordenador portátil,,1,1,1,1,1,1,1,0,0,1,0.25,0.75,1.0,0.75,,Sí,,Chico,4º ESO,Ordenador portátil,es la forma en que aprende una maquina,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,"pues nada yo creo, no creo que exista algun tipo de  peligro.",5,5,De reconocimiento de textos,para clasificar un texto con alguna de las etiquetas creadas por uno mismo.,"podria ser que haya mejor ""publicidad"" a la herramienta para que mucha mas gente la utilice, porque esta muy buena e interesante. quizas tambien agregar tutoriales mas extensos y complejos para que asi se pueda aprendar mas en torno al ML."
1020,Chica,4º ESO,Ordenador portátil,"un objeto o sistema que posee su propio lenguaje, por lo que toma sus propias decisiones y tiene memoria",0,1,1,0,1,1,1,1,1,1,0.25,1.0,0.75,1.0,pueden crear su propio lenguaje. ,No,no,Chica,4º ESO,Ordenador portátil,combinación de algoritmos que se le presentan a una maquina para que esta actúe como humano.  ,1,1,1,1,1,1,1,1,1,1,0.75,1,0.75,1,mal uso de este,5,4,De reconocimiento de textos,para clasificar las respuestas e lerningML,más opciones de proyectos
5805,Chico,5º Primaria,Ordenador fijo,una inteligencia artificial es INTERNET,1,0,1,0,0,0,0,0,0,0,0.5,0.5,1.0,0.5,"La Inteligencia Artificial cada vez abarca más ámbitos de nuestras vidas, pero un mal uso de ella puede conllevar peligros para la sociedad y los ciudadanos",No,no he programado,Chico,5º Primaria,Ordenador fijo,La Inteligencia Artificial (IA) es la combinación de algoritmos planteados con el propósito de crear,1,0,0,0,0,1,0,0,0,0,0.5,0.5,1,0.5,"
La inteligencia artificial (IA) podría, en cuestión de “milisegundos”, tomar la decisión de matar  a cualquier ser vivo.",3,3,De reconocimiento de textos,para clasificar textos,no se
5120,Chico,6º Primaria,Ordenador fijo,Las maquinas o sistemas operativos que ayudan en el dia a dia.,1,1,0,0,1,1,1,1,1,1,0.5,1.0,0.5,0.25,Que sepan todos tus datos personales.,Sí,"No, esque no se.",Chico,6º Primaria,Ordenador fijo,La tecnologia del dia a dia.,1,1,0,1,1,1,1,1,1,1,1,1,0.5,1,Que conozcan tus datos personales.,4,3,De reconocimiento de textos,Para poder clasificar los textos de una clase o de otra.,Que el aprndizaje fuera automatico.
